seed,step,n_observations,kernel,acquisition,length_scale,sigma_f,noise,best_observed,grid_best,simple_regret,rmse,mean_sigma
0,0,10,RBF,EI,3.1622776601683795,10.0,0.1,10.869158211899503,0.39813160278248994,10.471026609117013,26.263225946648625,5.202088846913615
0,1,11,RBF,EI,3.1622776601683795,10.0,0.1,6.961837161575863,0.39813160278248994,6.563705558793373,26.99529571261656,5.148173287204322
0,2,12,RBF,EI,3.1622776601683795,10.0,0.1,6.961837161575863,0.39813160278248994,6.563705558793373,27.101477432659628,4.741238087247745
0,3,13,RBF,EI,3.1622776601683795,10.0,0.1,6.961837161575863,0.39813160278248994,6.563705558793373,25.653914438173672,4.497410620625263
0,4,14,RBF,EI,3.1622776601683795,10.0,0.1,5.955011616277608,0.39813160278248994,5.556880013495118,25.530059581577323,4.457262655893151
0,5,15,RBF,EI,3.1622776601683795,10.0,0.1,2.9956383650870197,0.39813160278248994,2.59750676230453,24.949642729318875,4.417944405713584
0,6,16,RBF,EI,3.1622776601683795,10.0,0.1,0.7919970456236989,0.39813160278248994,0.39386544284120895,24.752457670486272,4.2478358680621255
0,7,17,RBF,EI,3.1622776601683795,10.0,0.1,0.5672681913470417,0.39813160278248994,0.16913658856455172,24.800119940394588,4.2114392472888
0,8,18,RBF,EI,3.1622776601683795,10.0,0.1,0.5672681913470417,0.39813160278248994,0.16913658856455172,24.80594628118385,4.206804781490478
0,9,19,RBF,EI,3.1622776601683795,10.0,0.1,0.5672681913470417,0.39813160278248994,0.16913658856455172,24.557070922757045,4.165257639421289
0,10,20,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,24.559555647309608,4.155651538506744
0,11,21,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,24.55721724187819,4.153519037888103
0,12,22,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,24.537927761465127,4.147956515712685
0,13,23,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,24.57689508493761,3.697657783450108
0,14,24,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,22.271359652596345,3.2985221789601176
0,15,25,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,22.40269987114128,3.1775142259828235
0,16,26,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,22.445539681111,3.1074453839082032
0,17,27,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,22.17090166681541,2.97855540354023
0,18,28,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,22.1718556996708,2.971379519470807
0,19,29,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,23.132008249858544,2.7354944551867173
0,20,30,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,24.625350188731954,2.543231795605987
0,21,31,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,24.590228013829805,2.3094159595250425
0,22,32,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,24.590467140578944,2.3084027083627086
0,23,33,RBF,EI,3.1622776601683795,10.0,0.1,0.41937933117310955,0.39813160278248994,0.021247728390619613,24.56997468466078,2.28650943053996
0,24,34,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,24.482740475579842,2.2824413739869938
0,25,35,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,24.494881448423744,2.2730899691736863
0,26,36,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,24.235465319743742,2.2670088357284
0,27,37,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,24.17694625301993,2.2210291771300814
0,28,38,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,23.92330817656804,2.211918917677722
0,29,39,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,23.850358121733546,2.209486790987647
0,30,40,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,23.85870984542892,2.20687784386388
1,0,10,RBF,EI,3.1622776601683795,10.0,0.1,3.6278174813634045,0.39813160278248994,3.2296858785809146,44.67824553526838,4.8839790566336525
1,1,11,RBF,EI,3.1622776601683795,10.0,0.1,3.6278174813634045,0.39813160278248994,3.2296858785809146,44.40631292659107,4.75685489894568
1,2,12,RBF,EI,3.1622776601683795,10.0,0.1,3.6278174813634045,0.39813160278248994,3.2296858785809146,44.33474113766708,4.502643988066003
1,3,13,RBF,EI,3.1622776601683795,10.0,0.1,3.6278174813634045,0.39813160278248994,3.2296858785809146,44.451468832450516,4.314304848429326
1,4,14,RBF,EI,3.1622776601683795,10.0,0.1,3.6278174813634045,0.39813160278248994,3.2296858785809146,43.5825589993441,4.198313034632346
1,5,15,RBF,EI,3.1622776601683795,10.0,0.1,1.9774212238888715,0.39813160278248994,1.5792896211063816,43.261036635534545,3.847108402924018
1,6,16,RBF,EI,3.1622776601683795,10.0,0.1,1.9774212238888715,0.39813160278248994,1.5792896211063816,43.219652780591595,3.7232470195733054
1,7,17,RBF,EI,3.1622776601683795,10.0,0.1,1.7371334071054125,0.39813160278248994,1.3390018043229226,43.3004917324567,3.6255851868853735
1,8,18,RBF,EI,3.1622776601683795,10.0,0.1,1.7371334071054125,0.39813160278248994,1.3390018043229226,34.86810577352792,3.398906557539986
1,9,19,RBF,EI,3.1622776601683795,10.0,0.1,0.6952991923029614,0.39813160278248994,0.2971675895204715,34.61961273958787,3.2593400298485116
1,10,20,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,34.63048667700973,3.234568035511309
1,11,21,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.52500902867461,3.082533399720385
1,12,22,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.684399388549636,2.9780920352274602
1,13,23,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.562465358604545,2.9612137772291933
1,14,24,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.964654716611804,2.728350610149715
1,15,25,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.989014938168825,2.672600758116545
1,16,26,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.75029582208407,2.608743377840509
1,17,27,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.98318703466174,2.509339540911807
1,18,28,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.77717534578838,2.493410642477047
1,19,29,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.783335996184363,2.492222619302478
1,20,30,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.784695511109412,2.4893998350016115
1,21,31,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.72637533772389,2.3337557125498614
1,22,32,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.726690323193292,2.32764195808452
1,23,33,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.944294304063476,2.22213599588347
1,24,34,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.955572643691614,2.1913065253366955
1,25,35,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.79496609443219,2.1794129907092743
1,26,36,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.730427646108108,2.174716674191571
1,27,37,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.66769071461647,2.170317960437887
1,28,38,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.66176037361607,2.1685448714741855
1,29,39,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.61061341062079,2.1640899861644027
1,30,40,RBF,EI,3.1622776601683795,10.0,0.1,0.39813160278248994,0.39813160278248994,0.0,19.615384800179925,2.161902000505278
2,0,10,RBF,EI,3.1622776601683795,10.0,0.1,0.8426452593085916,0.39813160278248994,0.44451365652610164,45.26556580801586,4.873675267157149
2,1,11,RBF,EI,3.1622776601683795,10.0,0.1,0.8426452593085916,0.39813160278248994,0.44451365652610164,45.01154914391925,4.503756352336601
2,2,12,RBF,EI,3.1622776601683795,10.0,0.1,0.8426452593085916,0.39813160278248994,0.44451365652610164,44.920607137605344,4.291688955015443
2,3,13,RBF,EI,3.1622776601683795,10.0,0.1,0.8426452593085916,0.39813160278248994,0.44451365652610164,44.90778043686723,4.190581950334741
2,4,14,RBF,EI,3.1622776601683795,10.0,0.1,0.8426452593085916,0.39813160278248994,0.44451365652610164,44.69153812197845,3.9349039457743906
2,5,15,RBF,EI,3.1622776601683795,10.0,0.1,0.8426452593085916,0.39813160278248994,0.44451365652610164,45.44508012598896,3.8472745283755523
2,6,16,RBF,EI,3.1622776601683795,10.0,0.1,0.8426452593085916,0.39813160278248994,0.44451365652610164,45.49273462721228,3.787020443755636
2,7,17,RBF,EI,3.1622776601683795,10.0,0.1,0.8426452593085916,0.39813160278248994,0.44451365652610164,44.162780043325306,3.6330447536228148
2,8,18,RBF,EI,3.1622776601683795,10.0,0.1,0.8426452593085916,0.39813160278248994,0.44451365652610164,44.079492314242046,3.369356588388563
2,9,19,RBF,EI,3.1622776601683795,10.0,0.1,0.46706594558690995,0.39813160278248994,0.06893434280442001,44.076530200191584,3.3080019370740046
