acquisition,n_runs,final_best_observed_mean,final_best_observed_std,final_simple_regret_mean,final_simple_regret_std,auc_simple_regret_mean,auc_simple_regret_std,final_rmse_mean,final_rmse_std
EI,10,0.39813160278248994,0.0,0.0,0.0,27.712753415578284,12.277991118432078,25.149673319498596,3.8317171416298867
LCB,10,0.40238114846061385,0.008958828909197579,0.004249545678123923,0.008958828909197579,38.72612277391337,18.968271041112825,29.008407013936214,7.008040658953916
PI,10,0.40450592129967583,0.01026362790363914,0.006374318517185884,0.01026362790363914,27.907013603332395,19.972976668521007,27.296790836768604,4.833046708879196
RANDOM,10,2.3468026907120696,1.236424061301849,1.9486710879295797,1.236424061301849,96.4438600079512,48.54524875151949,13.181807017008989,5.577151238506986
